destinazione;marca;alimentazione;data_immatricolazione
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;27/05/2008
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;27/05/2008
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;27/05/2008
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;27/05/2008
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;01/01/1987
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;01/01/1987
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;29/02/2000
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;29/02/2000
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;15/09/2017
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;01/08/2005
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;19/06/2007
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;12/04/2016
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;03/06/2016
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;29/07/1999
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;29/07/1999
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;29/07/1999
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;07/05/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/01/2003
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;15/09/2017
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;15/09/2017
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;15/09/2017
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;15/09/2017
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;12/10/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;12/10/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;12/10/2009
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;13/06/2007
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;01/08/2005
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;01/08/2005
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/02/2011
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;26/07/2012
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;31/07/2002
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;02/08/2002
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;31/07/2002
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;02/08/2002
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;15/12/2006
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/07/2006
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/07/2006
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;18/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;17/12/2003
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;17/12/2003
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;08/03/2006
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;27/02/2004
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;30/09/2015
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/12/1998
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;17/12/1998
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/01/2008
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/01/2008
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/01/2008
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;16/01/2008
